420,丽江市,25,674100,2
421,思茅市,25,665001,2
422,临沧市,25,677000,2
423,楚雄彝族自治州,25,675000,2
424,红河哈尼族彝族自治州,25,654400,2
425,文山壮族苗族自治州,25,663000,2
426,西双版纳傣族自治州,25,666100,2
427,大理白族自治州,25,671000,2
428,德宏傣族景颇族自治州,25,678400,2
429,怒江傈僳族自治州,25,673100,2
430,迪庆藏族自治州,25,674400,2
431,拉萨市,26,850000,2
432,昌都地区,26,854000,2
433,山南地区,26,856000,2
434,日喀则地区,26,857000,2
435,那曲地区,26,852000,2
436,阿里地区,26,859000,2
437,林芝地区,26,860100,2
438,西安市,27,710000,2
439,铜川市,27,727000,2
440,宝鸡市,27,721000,2
441,咸阳市,27,712000,2
442,渭南市,27,714000,2
443,延安市,27,716000,2
444,汉中市,27,723000,2
445,榆林市,27,719000,2
446,安康市,27,725000,2
447,商洛市,27,726000,2
448,兰州市,28,730000,2
449,嘉峪关市,28,735100,2
450,金昌市,28,737100,2
451,白银市,28,730900,2
452,天水市,28,741000,2
453,武威市,28,733000,2
454,张掖市,28,734000,2
455,平凉市,28,744000,2
456,酒泉市,28,735000,2
457,庆阳市,28,745000,2
458,定西市,28,743000,2
459,陇南市,28,742500,2
460,临夏回族自治州,28,731800,2
461,甘南藏族自治州,28,747000,2
462,西宁市,29,810000,2
463,海东地区,29,810600,2
464,海北藏族自治州,29,812200,2
465,黄南藏族自治州,29,811300,2
466,海南藏族自治州,29,813000,2
467,果洛藏族自治州,29,814000,2
468,玉树藏族自治州,29,815000,2
469,海西蒙古族藏族自治州,29,817000,2
470,银川市,30,750000,2
471,石嘴山市,30,753000,2
472,吴忠市,30,751100,2
473,固原市,30,756000,2
474,中卫市,30,755000,2
475,乌鲁木齐市,31,830000,2
476,克拉玛依市,31,834000,2
477,吐鲁番地区,31,838000,2
478,哈密地区,31,839000,2
479,昌吉回族自治州,31,831100,2
480,博尔塔拉蒙古自治州,31,833400,2
481,巴音郭楞蒙古自治州,31,841000,2
482,阿克苏地区,31,843000,2
483,克孜勒苏柯尔克孜自治州,31,845350,2
484,喀什地区,31,844000,2
485,和田地区,31,848000,2
486,伊犁哈萨克自治州,31,835000,2
487,塔城地区,31,834700,2
488,阿勒泰地区,31,836500,2
489,石河子市,31,832000,2
490,阿拉尔市,31,843300,2
491,图木舒克市,31,844000,2
492,五家渠市,31,831300,2
493,台北市,32,100052,2
494,高雄市,32,100052,2
495,基隆市,32,100052,2
496,台中市,32,100052,2
497,台南市,32,100052,2
498,新竹市,32,100052,2
499,嘉义市,32,100052,2
500,台北县,32,100052,2
501,宜兰县,32,,2
502,桃园县,32,56002,2
503,新竹县,32,100052,2
504,苗栗县,32,,2
505,台中县,32,100052,2
506,彰化县,32,,2
507,南投县,32,,2
508,云林县,32,116001,2
509,嘉义县,32,100052,2
510,台南县,32,100052,2
511,高雄县,32,100052,2
512,屏东县,32,,2
513,澎湖县,32,,2
514,台东县,32,53400,2
515,花莲县,32,253300,2
516,中西区,33,999077,2
517,东区,33,999077,2
518,九龙城区,33,999077,2
519,观塘区,33,999077,2
520,南区,33,999077,2
521,深水埗区,33,999077,2
522,黄大仙区,33,999077,2
523,湾仔区,33,999077,2
524,油尖旺区,33,999077,2
525,离岛区,33,999077,2
526,葵青区,33,999077,2
527,北区,33,999077,2
528,西贡区,33,999077,2
529,沙田区,33,999077,2
530,屯门区,33,999077,2
531,大埔区,33,999077,2
532,荃湾区,33,999077,2
533,元朗区,33,999077,2
534,澳门特别行政区,34,999078,2
535,美国,35,,3
536,加拿大,35,,3
537,澳大利亚,35,,3
538,新西兰,35,,3
539,英国,35,,3
540,法国,35,,3
541,德国,35,,3
542,捷克,35,,3
543,荷兰,35,,3
544,瑞士,35,,3
545,希腊,35,,3
546,挪威,35,,3
547,瑞典,35,,3
548,丹麦,35,,3
549,芬兰,35,,3
550,爱尔兰,35,,3
551,奥地利,35,,3
552,意大利,35,,3
553,乌克兰,35,,3
554,俄罗斯,35,,3
555,西班牙,35,,3
556,韩国,35,,3
557,新加坡,35,,3
558,马来西亚,35,,3
559,印度,35,,3
560,泰国,35,,3
561,日本,35,,3
562,巴西,35,,3
563,阿根廷,35,,3
564,南非,35,,3
565,埃及,35,,3
566,其他,36,100000,3
1126,井陉县,73,050000,3
1127,井陉矿区,73,050000,3
1128,元氏县,73,050000,3
1129,平山县,73,050000,3
1130,新乐市,73,050000,3
1131,新华区,73,050000,3
1132,无极县,73,050000,3
1133,晋州市,73,050000,3
1134,栾城县,73,050000,3
1135,桥东区,73,050000,3
1136,桥西区,73,050000,3
1137,正定县,73,050000,3
1138,深泽县,73,050000,3
1139,灵寿县,73,050000,3
1140,藁城市,73,050000,3
1141,行唐县,73,050000,3
1142,裕华区,73,050000,3
1143,赞皇县,73,050000,3
1144,赵县,73,050000,3
1145,辛集市,73,050000,3
1146,长安区,73,050000,3
1147,高邑县,73,050000,3
1148,鹿泉市,73,050000,3
1149,丰南区,74,063000,3
1150,丰润区,74,063000,3
1151,乐亭县,74,063000,3
1152,古冶区,74,063000,3
1153,唐海县,74,063000,3
1154,开平区,74,063000,3
1155,滦南县,74,063000,3
1156,滦县,74,063000,3
1157,玉田县,74,063000,3
1158,路北区,74,063000,3
1159,路南区,74,063000,3
1160,迁安市,74,063000,3
1161,迁西县,74,063000,3
1162,遵化市,74,063000,3
1163,北戴河区,75,066000,3
1164,卢龙县,75,066000,3
1165,山海关区,75,066000,3
1166,抚宁县,75,066000,3
1167,昌黎县,75,066000,3
1168,海港区,75,066000,3
1169,青龙满族自治县,75,066000,3
1170,丛台区,76,056000,3
1171,临漳县,76,056000,3
1172,复兴区,76,056000,3
1173,大名县,76,056000,3
1174,峰峰矿区,76,056000,3
1175,广平县,76,056000,3
1176,成安县,76,056000,3
1177,曲周县,76,056000,3
1178,武安市,76,056000,3
1179,永年县,76,056000,3
1180,涉县,76,056000,3
1181,磁县,76,056000,3
1182,肥乡县,76,056000,3
1183,邯山区,76,056000,3
1184,邯郸县,76,056000,3
1185,邱县,76,056000,3
1186,馆陶县,76,056000,3
1187,魏县,76,056000,3
1188,鸡泽县,76,056000,3
1189,临城县,77,054000,3
1190,临西县,77,054000,3
1191,任县,77,054000,3
1192,内丘县,77,054000,3
1193,南和县,77,054000,3
1194,南宫市,77,054000,3
1195,威县,77,054000,3
1196,宁晋县,77,054000,3
1197,巨鹿县,77,054000,3
1198,平乡县,77,054000,3
1199,广宗县,77,054000,3
1200,新河县,77,054000,3
1201,柏乡县,77,054000,3
1202,桥东区,77,054000,3
1203,桥西区,77,054000,3
1204,沙河市,77,054000,3
1205,清河县,77,054000,3
1206,邢台县,77,054000,3
1207,隆尧县,77,054000,3
1208,北市区,78,071000,3
1209,南市区,78,071000,3
1210,博野县,78,071000,3
1211,唐县,78,071000,3
1212,安国市,78,071000,3
1213,安新县,78,071000,3
1214,定兴县,78,071000,3
1215,定州市,78,071000,3
1216,容城县,78,071000,3
1217,徐水县,78,071000,3
1218,新市区,78,071000,3
1219,易县,78,071000,3
1220,曲阳县,78,071000,3
1221,望都县,78,071000,3
1222,涞水县,78,071000,3
1223,涞源县,78,071000,3
1224,涿州市,78,071000,3
1225,清苑县,78,071000,3
1226,满城县,78,071000,3
1227,蠡县,78,071000,3
1228,阜平县,78,071000,3
1229,雄县,78,071000,3
1230,顺平县,78,071000,3
